perturbagen,threshold,sd_m,sd_c,sd_n1,sd_a2,sd_a3,sd_ap,sd_a4,sd_c5
Alvocidib,0.85,0.03724580759789556,0.050942028333540904,0.14774232909255017,0.21316736385360838,0.11599097355243349,0.10053967198749894,0.11598904947291558,0.14763504530981067
Alvocidib,1,0.03777684909484715,0.054558815309681236,0.18544627836070054,0.23330929337219206,0.12950826100108023,0.10575894627273458,0.11850075981028617,0.1582807977520899
Aminopurvalanol,0,0.042671580187115685,0.04985518851417719,0.03573154509817426,0.0411684674256034,0.096900059086201,0.09161514672264524,0.035598732703978064,0.10934043414794521
Aminopurvalanol,0.26,0.04530541819041439,0.0518239246132834,0.057678439706055164,0.0584022331061162,0.11144873668529978,0.10620861017748616,0.040429692618876044,0.1252918327171421
Aminopurvalanol,0.5,0.045409342243590396,0.059484652367428004,0.12702928969378766,0.12635506386079925,0.13406566709937356,0.1230046426158018,0.049126004281902454,0.13975694299217287
Aminopurvalanol,0.85,0.047400101874102894,0.0822156664241969,0.16387192800103123,0.2290705058587366,0.14068468109366852,0.1360569915628903,0.05012460783198682,0.15664179498306607
Aminopurvalanol,1,0.04587275080486596,0.08226949642713734,0.1956545186902206,0.24151357362592588,0.15157943846652736,0.13806441894370672,0.05033418785178325,0.15685426087759627
AT-7519,0,0.04517756510589991,0.03761652453654661,0.03437732110276234,0.04735895088969807,0.06497039692883509,0.06158930173343433,0.07844568372181053,0.10141608430963164
AT-7519,0.26,0.04599113856707534,0.04303975021808043,0.06529987406798396,0.08487702655890776,0.07730539451578848,0.0710339602271367,0.0923677388655923,0.11982602341726635
AT-7519,0.5,0.04659601791087441,0.053612376324510644,0.11666157713647249,0.14416067204534372,0.09412161292831712,0.08053957292461157,0.1061579810408984,0.1340877356504636
AT-7519,0.85,0.04857011867346676,0.049617557937142245,0.193124216039951,0.24576592839989495,0.11619259600501718,0.09053797097550166,0.12852201102520616,0.1467269527119027
AT-7519,1,0.048800157592324554,0.05421931401063286,0.24635402012237856,0.2639629958726102,0.13259635532125175,0.0975040714154061,0.12977298374308094,0.1503668152351251
AT-9283,0,0.055641683761132606,0.03280663292729705,0.04691047214829141,0.056406514191218116,0.07459785351482874,0.06757841322716954,0.03598872958519954,0.08227316875619275
AT-9283,0.26,0.054448278139300414,0.041864982878585,0.07119247737291526,0.10781170676868025,0.08800366918900375,0.0765957880960537,0.039867487722182446,0.09530025621557525
